Organization Name,Address,City,State,Zip,Longitude,Latitude,Website,Phone Number,Description of Services,BASIC NEEDS,Clothing ,Financial assistance,Food,Emergency shelter,Housing/Shelter,Safe space,Youth drop-in centers,EARLY CHILDHOOD & PARENTING ,Child care/Day care ,Fatherhood programs,"Head Start/Early Head Start, preschool",Home visiting for pregnant/parenting teens,"Pregnant/parenting classes, counseling, support groups",EDUCATION,Academic counseling,"Arts (music, dance, writing, spoken word, language)",Behavioral/self-management programs/workshops,Civic engagement,"College readiness, counseling, career prep",Computer literacy/training,Enrichment field trips,Financial literacy,High school/GED completion,Homework help,Leadership/character development ,"Out of school, chronically truant youth counseling, re-engagement","Reading, literacy",Service learning,"STEM/STEAM (science, technology, engineering, math, arts)",Tutoring ,Vocational skills,EMPLOYMENT,Job placement (long-term),Job training/Workforce preparation,"Youth workforce preparation, employment",FAMILY STABILITY,"Adoption services, support","Domestic violence support, counseling",Family support,"Foster care services, support",Re-entry support programs for ex-offenders,HEALTH & WELLNESS,Anger management counseling,At-risk youth counseling,"Behavioral/mental health counseling, services",Behavior self-management programs,Cessation programs,Dental care,"Domestic violence support, counseling",Family and child counseling,"Family planning, birth control","Health clinics (primary care, family medicine, federally-qualified health centers)",Health literacy; connect to health services.,"HIV/AIDS testing, treatment",Immunizations/Vaccinations,Management of chronic conditions,Men's health services,"Mental health counseling, services","Nutrition and wellness programs, counseling",Physical activity/sports,"Preventive health (includes prenatal, dental, vision, cancer screenings)",Re-entry support programs for ex-offenders,"School, sports physicals",Sexual assault counseling,Sexually transmitted disease (STD) testing,"Substance abuse/addiction counseling, treatment",Vision care,Women's health services,HOTLINES/HELPLINES,Child abuse reporting,Crisis,Domestic violence,HIV/STI/STD Hotline,Rape,Trauma,VIOLENCE PREVENTION,At-risk youth counseling,"Domestic violence support, counseling",Engage youth to prevent gang participation,"Out of school/chronically truant youth counseling, re-engagement",Re-entry support programs for ex-offenders,Safe space,"Violence prevention workshop, peace circles",YOUTH ENGAGEMENT,After school programs,"Arts (music, dance, writing, spoken word, language)",Civic engagement,Engage youth to prevent gang participation,Enrichment field trips,"Leadership, character development",Mentoring ,"Out of school, chronically truant youth counseling, re-engagement",Service learning,"Sports, recreation","Summer programs, camp",Volunteer opportunities,Youth clubs,
Appeal For Charities and Goodwill Inc. (ACGI) Missions,50 W 71st St,Chicago,IL,60621,-87.627131,41.765550,https://acgimissions.org/,773- 651-5400,"Provides nine professional services in education, food pantry, nutrition, health literacy, social wellness, children, youth, and programs for new and growing families. ",,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Appeal For Charities and Goodwill Inc. (ACGI) Missions - Children & Youth Educational Services,50 W 71st St,Chicago,IL,60621,-87.627131,41.765550,https://acgimissions.org/learn/,773- 651-5400,"Full day services for children ages 2-5 years.  After-school and summer camp for children 5-12 years.  Educational programs include health, recreation, nutrition, STEM (science/technology/engineering/math), arts and crafts, conflict resolution and social well-being programming.",,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Appeal For Charities and Goodwill Inc. (ACGI) Missions - Family Wellness,50 W 71st St,Chicago,IL,60621,-87.627131,41.765550,https://acgimissions.org/family/,773- 651-5400,"Children and Youth Enrollment Counseling prepares families to enroll and take advantage of the various ACGI Missions and public-funded services. Health & Education Solutions promotes awareness of health-related problems and helps access local health resources. Nutrition Workshops are focused on the needs for growing families to live healthy lives to combat hunger, poor nutrition, obesity, and food insecurity.  Career Development Resources, available on a need basis, include professional development workshops to prepare participants to identify and overcome barriers in successfully securing employment and/or starting a small business.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appeal For Charities and Goodwill Inc. (ACGI) Missions Food Pantry,50 W 71st St,Chicago,IL,60621,-87.627131,41.765550,https://acgimissions.org/pantry/,773- 651-5400,"1st Friday of the month, 5:00 pm – 6:00 pm",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appeal For Charities and Goodwill Inc. (ACGI) Missions - Health,50 W 71st St,Chicago,IL,60621,-87.627131,41.765550,https://acgimissions.org/health/,773- 651-5400,"To improve access to and awareness of routine and basic health monitoring, ACGI Missions’ Public Health connects patrons with professional services targeting their health needs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appeal For Charities and Goodwill Inc. (ACGI) Missions - Missions of Peace Youth Summer,50 W 71st St,Chicago,IL,60621,-87.627131,41.765550,https://acgimissions.org/peace/,773- 651-5400,"For youth between the ages of 6-24 years, Missions of Peace serves as a community enrichment site with programs designed by youths to promote local peace, peer-to-peer counseling (peace circles), building partnerships, mentorship, online journalism/publication, social research, and development of peace rallies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Back to God Church Food Pantry,7326 S Racine Ave,Chicago,IL,60636,-87.654018,41.760648,"https://www.chicagosfoodbank.org/locations/back-to-god-church/
",773- 224-7083,HOURS: Tuesday 9:00 am - 11:00 am.  SERVICE AREA: Cook County.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass Elementary School,1140 W 66th St,Chicago,IL,60621,-87.653364,41.774191,https://chicagoearlylearning.org/location/557/perkins-bass-elementary-school/,773- 535-3275,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Zion Baptist Church Food Pantry,1406 W 64th St,Chicago,IL,60636,-87.659651,41.777737,https://www.chicagosfoodbank.org/locations/beautiful-zion-baptist-church/,773- 778-7271,HOURS: Thursday 12:30 pm - 3:30 pm.  SERVICE AREA: N: 55th; S: 75th; E: State W: Western.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe in Thine Heart Food Pantry,6000 S Ashland Ave,Chicago,IL,60636,-87.664388,41.784819,https://www.chicagosfoodbank.org/locations/believe-in-thine-heart-min/,773- 737-1009,HOURS: Friday 4:00 pm - 6:00 pm. SERVICE AREA: Zip Code 60636.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beloved Community Family Wellness Center,6821 S Halsted St,Chicago,IL,60621,-87.644505,41.769952,http://bcfwc.org/wps/,773- 651-3629,"Federally Qualified Health Center provides comprehensive, accessible and affordable primary health care, preventive education, and social service programs to the Greater Englewood and surrounding communities. Services include prenatal care, immunizations, well-child care, confidential teen care, and men's and women's health care.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beteur 1 Child Care,7045 S Halsted St,Chicago,IL,60621,-87.644395,41.765669,https://www.facebook.com/beteur1childcare/,773- 538-5315; 773- 962-9960 ,Child care/day care for children ages 2-5 years old.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethel Imani Lutheran Church Food Pantry,6201 S Sangamon St,Chicago,IL,60621,-87.648405,41.781172,http://bethel.startlogic.com/bulletin.html,773- 487-8136 ,HOURS: Monday 4:00 pm - 6:00 pm.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond Elementary School,7050 S May St,Chicago,IL,60621,-87.652934,41.765448,https://chicagoearlylearning.org/location/569/carrie-jacobs-bond-elementary-school/,773- 535-3480,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Star Community Outreach Trauma Counseling Helpline ,"4518 S. Cottage Grove, 1st Floor",Chicago,IL,60653,-87.607152,41.812.758,https://www.brightstarcommunityoutreach.com/new-page/,833-887-6123,"Trauma Counseling Helpline: Monday, Wednesday, Friday 9am-6pm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Building Blocks Learning Academy,1120 W 69th St,Chicago,IL,60621,-87.652659,41.768735,https://www.facebook.com/Building-Blocks-Learning-Academy-432862623469606/,773- 488-2222,"Child care/day care, Head Start.",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By the Hand Club For Kids,8301 S Damen Ave,Chicago,IL,60620,-87.672598,41.742372,http://bythehand.org,773-413-0895,"Christ-centered, after-school program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Canaan MBC Food Ministry Food Pantry,6659 S Harvard Ave,Chicago,IL,60621,-87.633215,41.772941,https://www.chicagosfoodbank.org/locations/canaan-m-b-c-food-ministry/,773- 487-9497,HOURS: Saturday 9:00 am to 12:00 pm.  SERVICE AREA: Cook County.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Changing Life Education Initiative, Inc.","400 W 76th St, Suite 360",Chicago,IL,60620,-87.634548,41.756275,http://www.changinglifeinc.com,773-891-3340/800-520-9946,"Afterschool programs, mentoring, summer camp, workforce development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,
"Chicago Child Care Society, Extended Family Support Program",5467 S University Avenue,Chicago,IL,60615,-87.597628,41.796120,http://www.cccsociety.org/our-programs/family-support-services/family-support/,773- 643-0452,"Supports relative caregivers (grandparents, aunts, uncles, older siblings, etc.) in adjusting to the many challenges that accompany the role of relative caregiver. The goal is to stabilize families and keep children from entering the foster care system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicago Child Care Society, Next Step College Readiness",5467 S University Avenue,Chicago,IL,60615,-87.597628,41.796120,http://www.cccsociety.org/our-programs/teen-programs/next-step/,773- 643-0452,"Provides mentoring support for pregnant and parenting teens and structured, interactive curriculum to prepare teen parents for college and future self-sufficiency.  Open to both teen moms and teen dads. It begins in the junior year of high school and continues through high school graduation.  Group meetings and activities at the agency and onsite at several Chicago public and alternative high schools.",,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicago Child Care Society, The Preschool Center - Englewood",7000 S Parnell Ave,Chicago,IL,60621,-87.638419,41.766840,http://www.cccsociety.org/the-preschool-centers/the-preschool-center-englewood/,"773-643-0452, Ext. 2470",Part of both Head Start and the Chicago Public Schools Community Partnership Program. Serves children ages 3 through 5. ,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Domestic Violence Help Line,,,,,,,,877-863-6338; TTY: 877-863-6339  ,"24-hour, toll-free confidential number that functions as a clearinghouse for domestic violence services and information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Public Library: Kelly Branch,6151 S Normal Blvd,Chicago,IL,60621,-87.637384,41.782610,https://chipublib.bibliocommons.com/locations/?near_addr=60621&_ga=2.132574990.1222283880.1507660745-260519240.1498855545,312- 747-8418,Homework help and computer help,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Public Library: Sherman Park Branch,5440 S Racine Ave,Chicago,IL,60609,-87.655152,41.795069,https://chipublib.bibliocommons.com/locations/?near_addr=60621&_ga=2.132574990.1222283880.1507660745-260519240.1498855545,312- 747-0477,Homework help and computer help,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Public Library: Thurgood Marshall Branch,7506 S Racine Ave,Chicago,IL,60620,-87.654406,41.757596,https://chipublib.bibliocommons.com/locations/?near_addr=60621&_ga=2.132574990.1222283880.1507660745-260519240.1498855545,312- 747-5927,Homework help and computer help,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Public Library: West Englewood Branch,1745 W 63rd St,Chicago,IL,60636,-87.668475,41.779292,https://chipublib.bibliocommons.com/locations/?near_addr=60621&_ga=2.132574990.1222283880.1507660745-260519240.1498855545,312- 747-3481,Homework help and computer help,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Learn & Play Day Care II,6512 S Halsted St,Chicago,IL,60621,-87.644708,41.775629,https://www.facebook.com/childenlearningandplaydaycare/,773- 966-7162,Child care/day care. ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children of Tomorrow Learning Center Inc.,7322 S Damen Ave,Chicago,IL,60636,-87.673469,41.760420,https://www.facebook.com/pages/Children-of-Tomorrow-Learning-Center/863872570372778,773-255-2077,Child care/day care. ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Home + Aid-Marshfield Office,5958 S Marshfield Ave,Chicago,IL,60636,-87.665608,41.785120,https://www.childrenshomeandaid.org,773- 918-8600,"Programs include Power of Fathers One Summer Chicago, early childhood programs, child & family counseling, adoption services, foster care support, and family preservation services.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChildServ - Chicago South,"3753 S Cottage Grove Ave, 2nd Floor",Chicago,IL,60653,-87.607901,41.826425,http://childserv.org,,"Programs include early childhood parenting (home visit and center-based), foster care and adoption support, teen mom program, mental health counseling, and preventive health. ",,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christ Center of Truth - ""The Knowledge Center""",402 W 71st St,Chicago,IL,60621,-87.634872,41.765375,http://christcenteroftruththeknowledgecenter.yolasite.com,773- 487-3088/773- 791-9232,"After school program, Gateway to Success, offers homework help, tutoring in reading, writing and math, educational movies, field trips in and out of Chicago, arts and crafts, spelling bees, light snacks and more.",,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,
Claremont Academy Elementary School,2300 W 64th St,Chicago,IL,60636,-87.681149,41.777447,https://chicagoearlylearning.org/location/609/claremont-academy-elementary-school/,773- 535-8110,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPS Student Outreach And Re-engagement (SOAR) Center,945 W 69th St,Chicago,IL,60621,-87.649051,41.768733,http://cps.edu/About_CPS/Departments/Pages/EducationOptions.aspx,773- 358-3248,"CPS S.O.A.R is focused on the re-engagement of out of school and chronically truant youth and serves as a location for families seeking support to re-enroll in school.  Services include monitoring support for students post-re-enrollment, enrollment assistance with getting back into best fit school based on student assessments and academic history, training to prepare students for re-entry, social emotional supports through individual and group counseling services. ",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
Crisis Text Line,,,,,,,https://www.crisistextline.org/,,"Crisis Text Line is free, 24/7 support for those in crisis. Text 741741 from anywhere in the US to text with a trained Crisis Counselor.  Some quick things to check out before you text in:  What is a crisis?  How does Crisis Text Line work?  What else can I do right now to cope?  Take our quiz to find out if Crisis Text Line is the right resource for you in this moment, and get some suggestions and resources along the way!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushers Club,1406 W 64th St,Chicago,IL,60636,-87.659651,41.777737,http://crushersclub.org/,312- 221-0289,Youth boxing club with a mission to provide a strong alternative to gangs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,
Crystal Palace Early Literacy Zone,1459 W 74th St,Chicago,IL,60636,-87.661271,41.759463,,773- 994-6844,Childcare/daycare for children age 6 weeks to 6 years.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
