14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-19-212-037-0000,6452,S,HERMITAGE,AVE,3710,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6452 S HERMITAGE AVE
CHICAGO, IL
(41.77603, -87.667807)"
20-19-229-002-0000,6603,S,HERMITAGE,AVE,3680,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6603 S HERMITAGE AVE
CHICAGO, IL
(41.773734, -87.667711)"
20-20-323-010-0000,6933,S,ELIZABETH,ST,3098,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6933 S ELIZABETH ST
CHICAGO, IL
(41.767672, -87.655394)"
20-17-329-034-0000,1348,W,63RD,ST,11859,16,WEST ENGLEWOOD,PD 911,NOT IN TIF,"1348 W 63RD ST
CHICAGO, IL
(41.779556, -87.659029)"
20-19-212-027-0000,6422,S,HERMITAGE,AVE,3711,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6422 S HERMITAGE AVE
CHICAGO, IL
(41.777219, -87.667846)"
20-17-332-031-0000,1218,W,63RD,ST,3080,16,WEST ENGLEWOOD,C1-2,NOT IN TIF,"1218 W 63RD ST
CHICAGO, IL
(41.779606, -87.65534)"
20-20-308-034-0000,1552,W,69TH,ST,3126,16,WEST ENGLEWOOD,B3-1,63rd/Ashland,"1552 W 69TH ST
CHICAGO, IL
(41.768564, -87.663492)"
20-19-220-015-0000,6545,S,WOOD,,3719,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6545 S WOOD
CHICAGO, IL
(41.774961, -87.668966)"
20-18-427-023-0000,6212,S,WOOD,,2980,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6212 S WOOD
CHICAGO, IL
(41.780991, -87.669094)"
20-18-225-023-0000,5834,S,WOLCOTT,AVE,3100,15,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5834 S WOLCOTT AVE
CHICAGO, IL
(41.787376, -87.671676)"
20-18-204-024-0000,5526,S,HERMITAGE,,3127,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5526 S HERMITAGE
CHICAGO, IL
(41.79289, -87.668182)"
20-20-327-025-0000,7018,S,LOOMIS,BLVD,3132,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7018 S LOOMIS BLVD
CHICAGO, IL
(41.766021, -87.659016)"
20-20-310-008-0000,6821,S,LAFLIN,ST,3128,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6821 S LAFLIN ST
CHICAGO, IL
(41.769782, -87.661551)"
20-17-118-006-0000,5715,S,LAFLIN,ST,3083,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5715 S LAFLIN ST
CHICAGO, IL
(41.790004, -87.662015)"
20-19-417-018-0000,6949,S,WINCHESTER,,3124,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6949 S WINCHESTER
CHICAGO, IL
(41.767486, -87.672361)"
20-17-315-029-0000,6020,S,RACINE,AVE,3115,16,WEST ENGLEWOOD,B1-1,NOT IN TIF,"6020 S RACINE AVE
CHICAGO, IL
(41.784703, -87.654655)"
20-20-308-025-0000,6826,S,JUSTINE,ST,3041,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6826 S JUSTINE ST
CHICAGO, IL
(41.769605, -87.66277)"
20-30-200-046-0000,7158,S,WINCHESTER,,3113,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7158 S WINCHESTER
CHICAGO, IL
(41.763642, -87.672306)"
20-17-400-004-0000,1149,W,59TH,ST,3001,16,ENGLEWOOD,B3-1,Englewood Neighborhood,"1149 W 59TH ST
CHICAGO, IL
(41.78691, -87.654203)"
20-17-321-048-0000,6156,S,THROOP,ST,2943,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6156 S THROOP ST
CHICAGO, IL
(41.782165, -87.657121)"
20-30-214-024-0000,7200,S,MARSHFIELD,AVE,2863,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7200 S MARSHFIELD AVE
CHICAGO, IL
(41.762962, -87.665002)"
20-19-207-002-0000,1611,W,63RD,ST,6580,16,WEST ENGLEWOOD,C1-2,63rd/Ashland,"1611 W 63RD ST
CHICAGO, IL
(41.779472, -87.664746)"
20-17-305-002-0000,1325,W,59TH,ST,3142,16,WEST ENGLEWOOD,C1-1,NOT IN TIF,"1325 W 59TH ST
CHICAGO, IL
(41.786864, -87.658096)"
20-18-215-029-0000,5618,S,ASHLAND,AVE,2906,16,WEST ENGLEWOOD,B3-2,63rd/Ashland,"5618 S ASHLAND AVE
CHICAGO, IL
(41.791502, -87.664609)"
20-19-207-009-0000,6341,S,MARSHFIELD,AVE,3085,16,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6341 S MARSHFIELD AVE
CHICAGO, IL
(41.77817, -87.665453)"
20-20-103-003-0000,1419,W,63RD,ST,3127,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1419 W 63RD ST
CHICAGO, IL
(41.779541, -87.660183)"
20-18-426-041-0000,1840,W,63,ST,3001,15,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1840 W 63 ST
CHICAGO, IL
(41.77941, -87.670426)"
20-17-129-019-0000,1301,W,58TH,ST,27714,16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"1301 W 58TH ST
CHICAGO, IL
(41.788692, -87.657454)"
20-18-225-034-0000,1906,W,59TH,ST,3126,15,WEST ENGLEWOOD,M1-1,63rd/Ashland,"1906 W 59TH ST
CHICAGO, IL
(41.786678, -87.672025)"
20-17-400-022-0000,5941,S,RACINE,AVE,3121,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5941 S RACINE AVE
CHICAGO, IL
(41.78562, -87.654679)"
20-17-307-035-0000,5938,S,RACINE,AVE,3110,16,WEST ENGLEWOOD,C1-1,NOT IN TIF,"5938 S RACINE AVE
CHICAGO, IL
(41.785761, -87.654683)"
20-19-316-042-0000,2004,W,68,PL,3139,16,WEST ENGLEWOOD,RS-2,NOT IN TIF,"2004 W 68 PL
CHICAGO, IL
(41.76935, -87.673736)"
20-19-313-017-0000,2214,W,69TH,ST,4628,16,CHICAGO LAWN,M1-1,NOT IN TIF,"2214 W 69TH ST
CHICAGO, IL
(41.768408, -87.679098)"
20-17-308-001-0000,6001,S,ASHLAND,AVE,2647,16,WEST ENGLEWOOD,C1-2,63rd/Ashland,"6001 S ASHLAND AVE
CHICAGO, IL
(41.784864, -87.664295)"
20-18-425-029-0000,6228,S,WOLCOTT,AVE,2985,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6228 S WOLCOTT AVE
CHICAGO, IL
(41.780264, -87.671506)"
20-18-208-002-0000,5603,S,DAMEN,AVE,3732,15,WEST ENGLEWOOD,B1-1,NOT IN TIF,"5603 S DAMEN AVE
CHICAGO, IL
(41.791906, -87.674237)"
20-17-304-005-0000,1345,W,59TH,ST,3126,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1345 W 59TH ST
CHICAGO, IL
(41.786855, -87.658884)"
20-30-206-027-0000,7116,S,MARSHFIELD,AVE,3123,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7116 S MARSHFIELD AVE
CHICAGO, IL
(41.764329, -87.66504)"
20-17-320-031-0000,6116,S.,ADA,ST,2907,16,WEST ENGLEWOOD,RT-4,NOT IN TIF,"6116 S ADA ST
CHICAGO, IL
(41.782656, -87.658284)"
20-17-310-002-0000,6003,S,LAFLIN,ST,3490,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6003 S LAFLIN ST
CHICAGO, IL
(41.784752, -87.661928)"
20-19-413-039-0000,1712,W,69TH,ST,3124,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1712 W 69TH ST
CHICAGO, IL
(41.768515, -87.667015)"
20-17-125-011-0000,5843,S,JUSTINE,ST,3088,16,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5843 S JUSTINE ST
CHICAGO, IL
(41.787322, -87.663172)"
20-19-114-015-0000,6441,S,SEELEY,AVE,3152,16,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6441 S SEELEY AVE
CHICAGO, IL
(41.776269, -87.675035)"
20-18-222-001-0000,5701,S,PAULINA,ST,6241,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5701 S PAULINA ST
CHICAGO, IL
(41.790231, -87.666908)"
20-17-121-024-0000,5700,S,THROOP,ST,2946,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5700 S THROOP ST
CHICAGO, IL
(41.790366, -87.657199)"
20-17-114-022-0000,5653,S,THROOP,ST,3119,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5653 S THROOP ST
CHICAGO, IL
(41.790824, -87.657216)"
20-20-101-005-0000,1509,W,63RD,ST,3124,16,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1509 W 63RD ST
CHICAGO, IL
(41.77951, -87.662261)"
20-17-208-011-0000,5627,S,RACINE,AVE,3067,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5627 S RACINE AVE
CHICAGO, IL
(41.791541, -87.654802)"
20-17-118-003-0000,5707,S,LAFLIN,ST,3081,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5707 S LAFLIN ST
CHICAGO, IL
(41.790208, -87.662017)"
20-17-128-015-0000,1342,W,59TH,ST,3326,16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"1342 W 59TH ST
CHICAGO, IL
(41.786857, -87.658798)"
20-20-101-041-0000,6350,S,LAFLIN,,3104,16,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6350 S LAFLIN
CHICAGO, IL
(41.778431, -87.661729)"
20-18-210-001-0000,5601,S,WOLCOTT,AVE,3721,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5601 S WOLCOTT AVE
CHICAGO, IL
(41.792024, -87.671828)"
20-18-424-022-0000,6226,S,WINCHESTER,AVE,2979,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6226 S WINCHESTER AVE
CHICAGO, IL
(41.780322, -87.672703)"
20-19-425-041-0000,7044,S,WOLCOTT,AVE,3123,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7044 S WOLCOTT AVE
CHICAGO, IL
(41.76529, -87.671118)"
20-20-416-008-0000,6925,S,RACINE,AVE,3105,6,ENGLEWOOD,B1-1,NOT IN TIF,"6925 S RACINE AVE
CHICAGO, IL
(41.768227, -87.654213)"
20-19-401-047-0000,1909,W,MARQUETTE,RD,1564,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1909 W MARQUETTE RD
CHICAGO, IL
(41.772106, -87.671735)"
20-17-304-008-0000,1339,W,59TH,ST,3126,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1339 W 59TH ST
CHICAGO, IL
(41.78686, -87.658608)"
20-17-100-004-0000,5517,S,ASHLAND,AVE,2627,16,WEST ENGLEWOOD,B3-2,63rd/Ashland,"5517 S ASHLAND AVE
CHICAGO, IL
(41.793072, -87.664464)"
20-19-223-044-0000,6550,S,ASHLAND,AVE,8811,15,WEST ENGLEWOOD,C1-2,63rd/Ashland,"6550 S ASHLAND AVE
CHICAGO, IL
(41.774121, -87.664159)"
20-19-206-026-0000,1646,W,64TH,ST,3093,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"1646 W 64TH ST
CHICAGO, IL
(41.777646, -87.665739)"
20-19-315-011-0000,2124,W,68TH,PL,3135,16,WEST ENGLEWOOD,RS-2,NOT IN TIF,"2124 W 68TH PL
CHICAGO, IL
(41.769317, -87.677061)"
20-17-109-015-0000,5639,S,JUSTINE,ST,3075,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5639 S JUSTINE ST
CHICAGO, IL
(41.791128, -87.663246)"
20-17-312-028-0000,6024,S,ADA,ST,3127,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6024 S ADA ST
CHICAGO, IL
(41.784148, -87.658278)"
20-19-200-011-0000,6325,S,DAMEN,AVE,4552,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6325 S DAMEN AVE
CHICAGO, IL
(41.778558, -87.673895)"
20-17-118-025-0000,5702,S,BISHOP,ST,3080,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5702 S BISHOP ST
CHICAGO, IL
(41.79044, -87.660849)"
20-17-102-037-0000,5519,S,LAFLIN,ST,6080,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5519 S LAFLIN ST
CHICAGO, IL
(41.792951, -87.662046)"
20-18-422-004-0000,6111,S,PAULINA,ST,3117,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6111 S PAULINA ST
CHICAGO, IL
(41.782895, -87.666716)"
20-30-215-019-0000,7245,S,MARSHFIELD,AVE,3117,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7245 S MARSHFIELD AVE
CHICAGO, IL
(41.761725, -87.664962)"
20-19-408-031-0000,6834,S,WINCHESTER,AVE,3095,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6834 S WINCHESTER AVE
CHICAGO, IL
(41.769227, -87.672419)"
20-30-206-026-0000,7114,S,MARSHFIELD,AVE,3124,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7114 S MARSHFIELD AVE
CHICAGO, IL
(41.764403, -87.665042)"
20-19-421-005-0000,1713,W,69TH,ST,3125,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1713 W 69TH ST
CHICAGO, IL
(41.768516, -87.667001)"
20-18-215-028-0000,5616,S,ASHLAND,AVE,2908,16,WEST ENGLEWOOD,B3-2,63rd/Ashland,"5616 S ASHLAND AVE
CHICAGO, IL
(41.791565, -87.664611)"
20-20-118-023-0000,6616,S,BISHOP,ST,3086,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6616 S BISHOP ST
CHICAGO, IL
(41.77353, -87.660434)"
20-17-317-038-0000,1516,W,62ND,ST,5738,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1516 W 62ND ST
CHICAGO, IL
(41.78132, -87.662564)"
20-17-116-035-0000,5738,S,JUSTINE,ST,3106,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5738 S JUSTINE ST
CHICAGO, IL
(41.789302, -87.663226)"
20-19-422-005-0000,1647,W,69TH,ST,3125,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1647 W 69TH ST
CHICAGO, IL
(41.768533, -87.665744)"
20-18-222-019-0000,5749,S,PAULINA,ST,3121,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5749 S PAULINA ST
CHICAGO, IL
(41.789055, -87.666869)"
20-17-208-012-0000,5627,S,RACINE,AVE,2997,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5627 S RACINE AVE
CHICAGO, IL
(41.791541, -87.654802)"
20-17-408-041-0000,1152,W,61ST,ST,3001,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"1152 W 61ST ST
CHICAGO, IL
(41.783274, -87.654249)"
20-18-208-003-0000,5607,S,DAMEN,AVE,3735,15,WEST ENGLEWOOD,B1-1,NOT IN TIF,"5607 S DAMEN AVE
CHICAGO, IL
(41.791839, -87.674236)"
20-18-427-043-0000,1808,W,63RD,ST,3001,15,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1808 W 63RD ST
CHICAGO, IL
(41.779432, -87.669443)"
