14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-28-202-004-0000,7109,S,PRINCETON,AVE,2074,6,GREATER GRAND CROSSING,RT-4,67th/Wentworth,"7109 S PRINCETON AVE
CHICAGO, IL
(41.764993, -87.632198)"
20-16-315-093-0000,751,W,61ST,,969,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"751 W 61ST
CHICAGO, IL
(41.783396, -87.644693)"
20-17-423-032-0000,6138,S,HALSTED,ST,3087,16,ENGLEWOOD,PD1227/B2-2,Englewood Neighborhood,"6138 S HALSTED ST
CHICAGO, IL
(41.782204, -87.644946)"
20-20-209-016-0000,6443,S,MAY,ST,3112,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6443 S MAY ST
CHICAGO, IL
(41.776521, -87.653223)"
20-17-315-029-0000,6020,S,RACINE,AVE,3115,16,WEST ENGLEWOOD,B1-1,NOT IN TIF,"6020 S RACINE AVE
CHICAGO, IL
(41.784703, -87.654655)"
20-21-204-033-0000,6214,S,STEWART,AVE,6415,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6214 S STEWART AVE
CHICAGO, IL
(41.777523, -87.634972)"
20-16-200-028-0000,5542,S,SHIELDS,,3132,3,ENGLEWOOD,RS-3,NOT IN TIF,"5542 S SHIELDS
CHICAGO, IL
(41.792887, -87.63412)"
20-21-420-014-0000,337,W,70,ST,13360,6,GREATER GRAND CROSSING,M1-2,67th/Wentworth,"337 W 70 ST
CHICAGO, IL
(41.767195, -87.633826)"
20-17-400-004-0000,1149,W,59TH,ST,3001,16,ENGLEWOOD,B3-1,Englewood Neighborhood,"1149 W 59TH ST
CHICAGO, IL
(41.78691, -87.654203)"
20-16-219-032-0000,5847,S,LA SALLE,ST,3528,20,ENGLEWOOD,RS-3,Washington Park,"5847 S LA SALLE ST
CHICAGO, IL
(41.787608, -87.629098)"
20-17-418-021-0000,6145,S,ABERDEEN,ST,3163,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6145 S ABERDEEN ST
CHICAGO, IL
(41.781968, -87.652149)"
20-16-404-015-0000,5947,S,WENTWORTH,AVE,3166,20,ENGLEWOOD,C1-1,Washington Park,"5947 S WENTWORTH AVE
CHICAGO, IL
(41.785842, -87.630256)"
20-16-309-028-0000,644,W,61ST,ST,6450,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"644 W 61ST ST
CHICAGO, IL
(41.783454, -87.641744)"
20-17-418-044-0000,6158,S,CARPENTER,ST,3025,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6158 S CARPENTER ST
CHICAGO, IL
(41.781603, -87.650928)"
20-21-104-016-0000,6328,S,PARNELL,AVE,4999,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6328 S PARNELL AVE
CHICAGO, IL
(41.779016, -87.638722)"
20-16-308-031-0000,6038,S,UNION,AVE,1384,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6038 S UNION AVE
CHICAGO, IL
(41.783923, -87.642476)"
20-16-204-022-0000,5633,S,WENTWORTH,AVE,3046,3,ENGLEWOOD,B3-1,Washington Park,"5633 S WENTWORTH AVE
CHICAGO, IL
(41.791717, -87.630424)"
20-21-113-008-0000,6421,S,NORMAL,BLVD,3162,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6421 S NORMAL BLVD
CHICAGO, IL
(41.777368, -87.637468)"
20-16-102-080-0000,5640,S,LOWE,AVE,3161,20,ENGLEWOOD,RS-3,NOT IN TIF,"5640 S LOWE AVE
CHICAGO, IL
(41.791293, -87.641422)"
20-20-202-026-0000,6326,S,CARPENTER,,3119,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6326 S CARPENTER
CHICAGO, IL
(41.779044, -87.65085)"
20-17-230-030-0000,840,W,59TH,ST,6179,16,ENGLEWOOD,C1-1,Englewood Neighborhood,"840 W 59TH ST
CHICAGO, IL
(41.787029, -87.646665)"
20-08-426-033-0000,1010,W,55TH,ST,9936,20,NEW CITY,RS-3,47th/Halsted,"1010 W 55TH ST
CHICAGO, IL
(41.794275, -87.650389)"
20-17-425-004-0000,6209,S,MAY,,3112,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6209 S MAY
CHICAGO, IL
(41.781311, -87.65335)"
20-20-410-019-0000,6847,S,ABERDEEN,ST,3099,16,ENGLEWOOD,RS-3,NOT IN TIF,"6847 S ABERDEEN ST
CHICAGO, IL
(41.769131, -87.651807)"
20-17-226-032-0000,1058,W,59TH,ST,4075,16,ENGLEWOOD,B3-1,Englewood Neighborhood,"1058 W 59TH ST
CHICAGO, IL
(41.786943, -87.652089)"
20-16-412-010-0000,6029,S,LA SALLE,ST,3506,20,ENGLEWOOD,RS-3,Washington Park,"6029 S LA SALLE ST
CHICAGO, IL
(41.784671, -87.62901)"
20-21-106-021-0000,6328,S,EGGLESTON,AVE,6253,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6328 S EGGLESTON AVE
CHICAGO, IL
(41.778967, -87.63628)"
20-17-400-022-0000,5941,S,RACINE,AVE,3121,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5941 S RACINE AVE
CHICAGO, IL
(41.78562, -87.654679)"
20-17-307-035-0000,5938,S,RACINE,AVE,3110,16,WEST ENGLEWOOD,C1-1,NOT IN TIF,"5938 S RACINE AVE
CHICAGO, IL
(41.785761, -87.654683)"
20-16-308-001-0000,6031,S,HALSTED,ST,3146,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"6031 S HALSTED ST
CHICAGO, IL
(41.784099, -87.644892)"
20-21-303-022-0000,6744,S,PARNELL,AVE,5750,6,ENGLEWOOD,RT-4,67th/Wentworth,"6744 S PARNELL AVE
CHICAGO, IL
(41.771238, -87.638706)"
20-16-400-035-0000,5922,S,PRINCETON,AVE,2507,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"5922 S PRINCETON AVE
CHICAGO, IL
(41.786518, -87.632808)"
20-16-321-004-0000,6217,S,HALSTED,ST,10546,16,ENGLEWOOD,PD560/C1-2,Englewood Mall,"6217 S HALSTED ST
CHICAGO, IL
(41.78094, -87.644757)"
20-21-326-001-0000,517,W,70TH,ST,5616,6,ENGLEWOOD,RT-4,67th/Wentworth,"517 W 70TH ST
CHICAGO, IL
(41.76712, -87.637936)"
20-20-410-041-0000,1036,W,69TH,ST,2518,16,ENGLEWOOD,RS-3,NOT IN TIF,"1036 W 69TH ST
CHICAGO, IL
(41.76875, -87.650801)"
20-21-412-011-0000,6933,S,HARVARD,AVE,2310,6,GREATER GRAND CROSSING,RT-4,67th/Wentworth,"6933 S HARVARD AVE
CHICAGO, IL
(41.76795, -87.633517)"
20-29-202-024-0000,7104,S.,CARPENTER,ST,3099,6,ENGLEWOOD,RS-3,NOT IN TIF,"7104 S CARPENTER ST
CHICAGO, IL
(41.764927, -87.650477)"
20-16-216-053-0000,327,W,58TH,ST,1901,20,ENGLEWOOD,RS-3,NOT IN TIF,"327 W 58TH ST
CHICAGO, IL
(41.788851, -87.633913)"
20-17-429-034-0000,6244,S,PEORIA,DR,3161,16,ENGLEWOOD,PD 1227,Englewood Mall,"6244 S PEORIA DR
CHICAGO, IL
(41.780215, -87.647222)"
20-20-203-016-0000,6337,S,CARPENTER,,3146,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6337 S CARPENTER
CHICAGO, IL
(41.77885, -87.650844)"
20-17-219-028-0000,5708,S,MORGAN,ST,3133,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5708 S MORGAN ST
CHICAGO, IL
(41.790274, -87.6499)"
20-20-223-029-0000,6538,S,HALSTED,ST,11783,20,ENGLEWOOD,B3-2,Englewood Neighborhood,"6538 S HALSTED ST
CHICAGO, IL
(41.775011, -87.644742)"
